target_Z,incident_energy,recoil_energy,recoil_px,recoil_py,recoil_pz,centerMomentum_energy,centerMomentum_px,centerMomentum_py,centerMomentum_pz
74,3.827,0.098828,-0.00166305,-0.00256338,0.0987794,3.827,-0.000798581,-0.000295459,3.82694
74,3.827,0.0827962,0.00127167,-0.000524503,0.0827832,3.827,0.00219946,-0.00100324,3.82697
74,3.827,0.0212397,0.000161424,0.000357261,0.0212299,3.827,-0.000144706,-1.46136e-05,3.82698
74,3.827,0.0981915,0.000916868,0.000102053,0.0981859,3.827,-1.6831e-05,-9.05194e-05,3.82698
74,3.827,0.0617487,9.12766e-05,0.000443767,0.0617449,3.827,-4.26793e-05,5.84922e-05,3.82698
74,3.827,0.264399,-0.000591043,0.00288615,0.264382,3.827,0.000636996,-0.000123504,3.82697
74,3.827,0.0737909,0.00287852,-0.00506574,0.0735588,3.827,0.000329504,-0.00140035,3.82675
74,3.827,0.648631,0.00411814,-0.00664192,0.648583,3.827,0.000374935,0.000844927,3.82693
74,3.827,0.138471,-0.0015247,0.00178904,0.13845,3.827,9.85732e-05,1.13677e-05,3.82696
74,3.827,0.020289,8.24162e-05,0.000300481,0.0202802,3.827,0.00012463,3.46478e-05,3.82698
74,3.827,0.151591,-0.00118742,0.00145148,0.151578,3.827,-0.000225161,-0.000262383,3.82697
74,3.827,0.013528,-0.00113856,0.0016464,0.0133694,3.827,0.000824858,0.00189409,3.82683
74,3.827,0.0596878,-0.00259604,-0.00443958,0.0594637,3.827,-0.000992283,0.000389728,3.82676
74,3.827,0.139252,-0.000905688,-0.00134469,0.139242,3.827,0.00409228,-0.00694718,3.82697
74,3.827,0.950564,2.89431e-05,0.000546957,0.950564,3.827,8.20622e-05,-0.000260362,3.82698
74,3.827,0.777895,-0.00701379,0.00785644,0.777823,3.827,0.00193831,-0.00205357,3.82688
74,3.827,0.0242366,9.14606e-05,-0.000205402,0.0242302,3.827,0.000364406,0.000650087,3.82698
74,3.827,0.0370527,0.000832192,-0.000276661,0.0370388,3.827,2.29508e-05,7.04286e-05,3.82697
